ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
SE,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
PB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,SIM,NAO,N,ELEITO
BA,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,40 – 44 anos,SIM,SIM,S,ELEITO
PE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),SEM INFORMAÇÃO,35 – 39 anos,NAO,NAO,N,ELEITO
PB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
BA,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
BA,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,50 – 54 anos,SIM,NAO,S,NÃO ELEITO
PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
PB,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
PI,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,ELEITO
CE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,ELEITO
PB,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,SIM,SIM,N,ELEITO
BA,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,50 – 54 anos,SIM,SIM,N,NÃO ELEITO
BA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
BA,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
PE,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,40 – 44 anos,NAO,NAO,N,ELEITO
PE,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,30 – 34 anos,NAO,NAO,N,NÃO ELEITO
PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
BA,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
MA,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,N,ELEITO
AL,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
MA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,75 anos ou superior,SIM,SIM,N,NÃO ELEITO
PE,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
PB,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,30 – 34 anos,NAO,SIM,N,ELEITO
AL,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
MA,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,45 – 49 anos,NAO,SIM,N,NÃO ELEITO
PI,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,55 – 59 anos,NAO,NAO,S,ELEITO
PB,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
BA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
RN,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,S,ELEITO
CE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
AL,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
PE,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,55 – 59 anos,SIM,NAO,N,ELEITO
MA,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,S,NÃO ELEITO
SE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,NAO,N,ELEITO
PE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
AL,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,S,ELEITO
BA,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,65 – 69 anos,NAO,NAO,N,ELEITO
