ANO_ELEICAO,ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,IDADE,FAIXA_ETARIA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,54.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,ELEITO
2020,SP,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,51.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,NÃO ELEITO
2020,BA,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,53.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,NÃO ELEITO
2020,SC,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,63.0,60 OU SUPERIOR,60 – 64 ANOS,SIM,NAO,N,NÃO ELEITO
2020,GO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,54.0,50 – 59 ANOS,50 – 54 ANOS,SIM,NAO,N,NÃO ELEITO
2020,BA,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,55.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,N,NÃO ELEITO
2020,PI,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,59.0,50 – 59 ANOS,55 – 59 ANOS,NAO,SIM,N,ELEITO
2020,RJ,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,68.0,60 OU SUPERIOR,65 – 69 ANOS,SIM,NAO,S,ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,44.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,CE,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,53.0,50 – 59 ANOS,50 – 54 ANOS,NAO,NAO,N,ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,SIM,NAO,N,NÃO ELEITO
2020,PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,64.0,60 OU SUPERIOR,60 – 64 ANOS,NAO,SIM,N,NÃO ELEITO
2020,PR,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,43.0,40 – 49 ANOS,40 – 44 ANOS,NAO,SIM,N,NÃO ELEITO
2020,PR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,44.0,40 – 49 ANOS,40 – 44 ANOS,NAO,NAO,N,NÃO ELEITO
2020,SP,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45.0,40 – 49 ANOS,45 – 49 ANOS,NAO,NAO,S,ELEITO
2020,PB,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,24.0,ATÉ 29 ANOS,18 – 24 ANOS,NAO,SIM,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,41.0,40 – 49 ANOS,40 – 44 ANOS,SIM,NAO,N,NÃO ELEITO
2020,MG,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,47.0,40 – 49 ANOS,45 – 49 ANOS,SIM,NAO,N,ELEITO
2020,AM,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,57.0,50 – 59 ANOS,55 – 59 ANOS,NAO,NAO,S,ELEITO
2020,PI,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,40.0,40 – 49 ANOS,40 – 44 ANOS,NAO,SIM,N,NÃO ELEITO
