ESTADO,GENERO,GRAU_INSTRUCAO,ESTADO_CIVIL,COR_RACA,FAIXA_ETARIA_IBGE,CIDNAS_IGUAL_CIDCAND,CAND_PURA_S_COLIG,REELEICAO,SITUACAO_FINAL
AM,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
AC,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,30 – 34 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,65 – 69 anos,SIM,NAO,N,ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
AP,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,18 – 24 anos,SIM,NAO,N,NÃO ELEITO
AM,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),INDÍGENA,45 – 49 anos,SIM,NAO,N,ELEITO
RR,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,75 anos ou superior,NAO,SIM,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,35 – 39 anos,NAO,SIM,N,NÃO ELEITO
AM,MASCULINO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,75 anos ou superior,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,45 – 49 anos,NAO,NAO,N,ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,55 – 59 anos,NAO,SIM,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,CASADO(A),SEM INFORMAÇÃO,50 – 54 anos,NAO,SIM,N,NÃO ELEITO
RR,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,S,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,45 – 49 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,55 – 59 anos,SIM,NAO,S,NÃO ELEITO
AP,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PRETA,65 – 69 anos,NAO,SIM,N,NÃO ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
AP,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,60 – 64 anos,SIM,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,30 – 34 anos,NAO,NAO,N,ELEITO
AM,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,65 – 69 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,SIM,N,NÃO ELEITO
TO,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,NAO,NAO,N,NÃO ELEITO
AC,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,35 – 39 anos,SIM,SIM,N,ELEITO
RO,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,30 – 34 anos,SIM,SIM,N,ELEITO
TO,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,50 – 54 anos,NAO,NAO,N,ELEITO
RO,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,60 – 64 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
TO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,40 – 44 anos,NAO,NAO,N,NÃO ELEITO
RO,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,35 – 39 anos,NAO,NAO,N,ELEITO
RR,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,45 – 49 anos,NAO,NAO,N,NÃO ELEITO
AP,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,45 – 49 anos,SIM,SIM,N,NÃO ELEITO
RO,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,50 – 54 anos,NAO,NAO,N,NÃO ELEITO
